latinsknavnid,projectid,genus,species,species_latin,species_norsk
,223,Amaranthus,,Amaranthus sp.    ,
,224,Arabis,hirsuta,Arabis hirsuta ssp. hirsuta  ,
,225,Cardamine,pratensis,Cardamine pratensis coll.   ,
,226,Carex,rostrata,Carex rostrata    ,
,227,Cerastium,fontanum,Cerastium fontanum    ,
,228,Chenopodiium,album,Chenopodiium album    ,
,229,Chenopodium,album,Chenopodium album    ,
,230,Chenopodium,glaucum,Chenopodium glaucum    ,
,231,Cirsium,arvense,Cirsium arvense    ,
,232,Echinochloa,,Echinochloa sp.    ,
,233,Elusine,indica,Elusine indica ssp. africana  ,
,234,Epilobium,ciliatum,Epilobium ciliatum ssp. ciliatum  ,
,235,Epilobium,lanceolatum,Epilobium lanceolatum    ,
,236,Epilobium,parviflorum,Epilobium parviflorum    ,
,237,Erica,ciliaris,Erica ciliaris    ,
,238,Euphorbia,chaemasyce,Euphorbia chaemasyce    ,
,239,Euphorbia,chaemasyce,Euphorbia chaemasyce    ,
,240,Filaginella,uliginosa,Filaginella uliginosa    ,
,241,Galium,,Galium sp.    ,
,242,Holcus,lanatus,Holcus lanatus    ,
,243,Howia,,Howia sp.    ,
,244,Humulus,yunnanensis,Humulus yunnanensis    ,
,245,Juncus,articulatus,Juncus articulatus    ,
,246,Juncus,bulbosus,Juncus bulbosus ssp. bulbosus  ,
,247,Juncus,filiformis,Juncus filiformis    ,
,248,Omalotheca,sylvatica,Omalotheca sylvatica    ,
,249,Oxalis,corniculata,Oxalis corniculata var. atropurpurea  ,
,250,Oxalis,corniculata,Oxalis corniculata var. atropurpurea var. atropurpurea,
,251,Panicum,capillaceum,Panicum capillaceum    ,
,252,Panicum,capillare,Panicum capillare    ,
,253,Panicum,repens,Panicum repens    ,
,254,Persicaria,lapathifolia,Persicaria lapathifolia ssp. lapathifolia  ,
,255,Persicaria,lapathifolia,Persicaria lapathifolia ssp. mørkegrønn V'  ,
,257,Rosmarinus,officinalis,Rosmarinus officinalis    ,
,258,Salix,myrsinifolia,Salix myrsinifolia ssp. myrsinifolia  ,
,259,Salix,nigricans,Salix nigricans    ,
,260,Salix,,Salix sp.    ,
,261,Setaria,viridis,Setaria viridis    ,
,262,Solanum,nigrum,Solanum nigrum ssp. nigrum  ,
,263,Solanum,nigrum,Solanum nigrum ssp. schultzii  ,
,264,Sonchus,oleraceaus,Sonchus oleraceaus    ,
,265,Spartina,anglica,Spartina anglica    ,
,266,Taraxacum,ruderalia,Taraxacum ruderalia    ,
,267,Thuja,occidentalis,Thuja occidentalis    ,
,268,Vaccinium,oxycoccus,Vaccinium oxycoccus    ,
,269,Veronica,arvensis,Veronica arvensis    ,
,270,Veronica,peregrina,Veronica peregrina ssp. peregrina  ,
