"number_sampled_containers","country","exporter"
5,"Belgia","Jules Block"
1,"Belgia","Plantagen source"
1,"Belgia","Waterdrinker Aalsmeer"
3,"Danmark","Danplanex A/S"
2,"Italia","Az. Viv. ALESCI SEBASTIANO"
1,"Italia","Ciemme S.r.l."
1,"Italia","Ligurplant"
1,"Italia","Ligurplant S.r.l."
1,"Italia","Lorenzetto"
2,"Italia","Lorenzetto S.r.l."
5,"Italia","Lorenzetto S.r.l./ Ligurplant S.r.l."
1,"Italia","Plantagen source"
1,"Italia","Sicilia Verde di Giambo"
1,"Italia","Verde Duemila Ornamental Plants"
1,"Litauen","Gasa Bøg"
1,"Nederland","Betuwe Plant BV/Fruithof BV"
1,"Nederland","Centrale Bomen & Planten"
1,"Nederland","Dutch Garden Plants"
5,"Nederland","Floranordic"
4,"Nederland","Green-Joy bv"
3,"Nederland","Plantagen source"
1,"Nederland","Twentheplant BV"
1,"Nederland","Volentis BV"
7,"Nederland","Waterdrinker Aalsmeer"
1,"Nederland/Belgia","Plantagen source"
1,"Norge","Unknown"
2,"Tyskland","Elbers Export GmbH"
1,"Tyskland","Gärtnerei Hinrichs"
3,"Tyskland","GASA"
5,"Tyskland","Gasa Germany"
1,"Tyskland","Günter Asendorf"
1,"Tyskland","Hildburg Lüers Pflanzenhandel"
1,"Tyskland","IBH Export Germany BV"
24,"Tyskland","Plantagen source"
3,"Tyskland","Waterdrinker Aalsmeer"
1,"Tyskland, Italia","Gasa Germany"
